100
Ref_strain_id	0	16	10	18	17	13	7	16	17	15	16	15	18	10	15	19	17	9	5	16	10	15	15	17	17	11	11	17	19	17	19	10	5	15	15	9	9	15	16	15	16	15	5	15	16	11	16	15	15	16	18	16	15	15	17	16	16	18	12	16	16	16	15	19	17	17	9	16	17	16	17	10	17	12	15	9	15	17	16	18	17	16	18	17	17	17	17	16	17	16	15	15	16	9	16	17	16	15	15	16	
EPI_ISL_521809	16	0	26	34	33	29	23	32	33	31	32	31	34	26	31	35	33	25	21	32	26	31	31	33	33	27	27	33	35	33	35	26	21	31	31	25	25	31	32	31	32	31	21	31	32	27	32	31	31	32	34	32	31	31	33	32	32	34	28	32	32	32	31	35	33	33	25	32	33	32	33	26	33	28	31	25	31	33	32	34	33	32	34	33	33	33	33	32	33	32	31	31	32	25	32	33	32	31	31	32	
EPI_ISL_530237	10	26	0	28	27	23	17	26	27	25	26	25	28	20	25	29	27	19	15	26	20	25	25	27	27	21	21	27	29	27	29	20	15	25	25	19	19	25	26	25	26	25	15	25	26	21	26	25	25	26	28	26	25	25	27	26	26	28	22	26	26	26	25	29	27	27	19	26	27	26	27	20	27	22	25	19	25	27	26	28	27	26	28	27	27	27	27	26	27	26	25	25	26	19	26	27	26	25	25	26	
EPI_ISL_678363	18	34	28	0	27	31	25	20	21	19	28	19	22	22	19	23	29	21	19	20	22	29	19	21	29	23	23	21	23	21	23	22	19	27	19	21	21	19	20	19	20	33	23	33	34	29	34	33	33	34	36	34	33	33	35	34	34	36	30	34	34	34	33	37	35	35	27	34	35	34	35	28	35	30	33	27	33	35	34	36	35	34	36	35	35	35	35	34	35	34	33	33	34	27	34	35	34	33	33	34	
EPI_ISL_593164	17	33	27	27	0	30	24	19	20	18	9	18	21	13	18	22	18	12	14	19	13	24	18	20	10	14	14	20	22	20	22	13	14	24	18	12	12	18	19	18	19	32	22	32	33	28	33	32	22	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	31	34	27	32	29	32	26	30	34	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	26	31	32	31	30	30	31	
EPI_ISL_521525	13	29	23	31	30	0	20	29	30	28	29	28	31	23	28	32	30	22	18	29	23	28	28	30	30	24	24	30	32	30	32	23	18	28	28	22	22	28	29	28	29	28	18	28	29	24	29	28	28	29	31	29	28	28	30	29	29	31	25	29	29	29	28	32	30	30	22	29	30	29	30	23	30	25	28	22	28	30	29	31	30	29	31	30	30	30	30	29	30	29	28	28	29	22	29	30	29	28	28	29	
EPI_ISL_639749	7	23	17	25	24	20	0	23	24	22	23	22	25	17	22	26	24	16	12	23	17	22	22	24	24	18	18	24	26	24	26	17	12	22	22	16	16	22	23	22	23	22	12	22	23	18	23	22	22	23	25	23	22	22	24	23	23	25	19	23	23	23	22	26	24	24	16	23	24	23	24	17	24	19	22	16	22	24	23	25	24	23	25	24	24	24	24	23	24	23	22	22	23	16	23	24	23	22	22	23	
EPI_ISL_663765	16	32	26	20	19	29	23	0	3	1	12	1	4	6	1	5	11	7	11	2	8	21	1	3	15	9	9	3	5	3	5	6	11	19	1	7	7	1	2	1	2	31	21	31	32	27	32	31	31	32	34	32	31	31	33	32	32	34	28	32	32	32	31	35	33	33	25	32	33	32	33	26	33	28	31	25	31	33	32	34	33	32	34	33	33	33	33	32	33	32	31	31	32	25	32	33	32	31	31	32	
EPI_ISL_779546	17	33	27	21	20	30	24	3	0	2	13	2	1	9	2	2	14	8	12	3	9	22	2	0	16	10	10	4	2	0	2	9	12	20	2	8	8	2	3	2	3	32	22	32	33	28	33	32	32	33	35	33	32	32	34	33	33	35	29	33	33	33	32	36	34	34	26	33	34	33	34	27	34	29	32	26	32	34	33	35	34	33	35	34	34	34	34	33	34	33	32	32	33	26	33	34	33	32	32	33	
EPI_ISL_519393	15	31	25	19	18	28	22	1	2	0	11	0	3	7	0	4	12	6	10	1	7	20	0	2	14	8	8	2	4	2	4	7	10	18	0	6	6	0	1	0	1	30	20	30	31	26	31	30	30	31	33	31	30	30	32	31	31	33	27	31	31	31	30	34	32	32	24	31	32	31	32	25	32	27	30	24	30	32	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	24	31	32	31	30	30	31	
EPI_ISL_592019	16	32	26	28	9	29	23	12	13	11	0	11	14	8	11	15	11	7	11	10	6	21	11	13	5	9	9	13	15	13	15	8	11	21	11	7	7	11	10	11	10	31	21	31	32	27	32	31	21	32	34	32	31	31	33	32	32	34	28	32	32	32	31	35	33	33	25	32	33	32	33	26	33	28	31	25	29	33	30	32	31	30	32	31	31	31	31	30	31	30	29	29	30	25	30	31	30	29	29	30	
EPI_ISL_518914	15	31	25	19	18	28	22	1	2	0	11	0	3	7	0	4	12	6	10	1	7	20	0	2	14	8	8	2	4	2	4	7	10	18	0	6	6	0	1	0	1	30	20	30	31	26	31	30	30	31	33	31	30	30	32	31	31	33	27	31	31	31	30	34	32	32	24	31	32	31	32	25	32	27	30	24	30	32	31	33	32	31	33	32	32	32	32	31	32	31	30	30	31	24	31	32	31	30	30	31	
EPI_ISL_593182	18	34	28	22	21	31	25	4	1	3	14	3	0	10	3	3	15	9	13	4	10	23	3	1	17	11	11	5	3	1	3	10	13	21	3	9	9	3	4	3	4	33	23	33	34	29	34	33	33	34	36	34	33	33	35	34	34	36	30	34	34	34	33	37	35	35	27	34	35	34	35	28	35	30	33	27	33	35	34	36	35	34	36	35	35	35	35	34	35	34	33	33	34	27	34	35	34	33	33	34	
EPI_ISL_592235	10	26	20	22	13	23	17	6	9	7	8	7	10	0	7	11	7	1	5	8	2	15	7	9	9	3	3	9	11	9	11	0	5	15	7	1	1	7	8	7	8	25	15	25	26	21	26	25	25	26	28	26	25	25	27	26	26	28	22	26	26	26	25	29	27	27	19	26	27	26	27	20	27	22	25	19	25	27	26	28	27	26	28	27	27	27	27	26	27	26	25	25	26	19	26	27	26	25	25	26	
